7:13838,22308,3824,486,25955,32217,2416,22315,1685,101665
18:1102,48475,77635,19415,51917,3867,1924,51909,72711,66017
19:76640,70888,85825,83646,71792,23630,5051,20,25501,46673
36:2200,2908,99971,726,1690,245,30855,735,1200,1685
37:75326,99971,967,481,30855,3376,55076,5268,25966,29787
41:2200,1690,28632,245,64978,71067,3389,1685,57647,101665
42:2200,2908,1690,28632,245,1208,71067,735,53145,1685
43:2200,64978,20564,3389,1471,98031,46551,61716,500,510
44:13838,422,110292,901,840,52744,13400,2013,15334,13785
45:46112,21522,6765,6766,967,4855,2904,23271,47926,1449
46:13838,1212,245,12441,1685,101665,224,20367,4292,500
59:1,110414,34451,79051,35190,245,3107,117943,2897,121041
60:13838,245,117943,1685,101665,500,4292,63632,80642,66559
69:13838,2,5265,5260,500,4292,48209,63632,27290,1187
70:2200,1690,962,117943,43797,61402,49015,44128,6485,495
94:2200,1690,92940,28632,245,124,71067,13400,354,101313
106:13838,34451,110414,103287,111691,79051,13400,120494,113571,101313
115:29741,19288,92940,28632,245,13400,101313,103410,60033,5260
116:1,108016,34451,110414,24508,64710,481,79051,1208,3376
142:1,110414,34451,79051,12441,121041,225,13785,101416,19396
143:11651,10043,486,2429,11371,10181,1685,280,18667,20803
148:2307,108016,110292,13941,24508,25716,76199,481,64710,15838
150:2200,2908,1690,28632,1208,735,6485,495,3114,39800
156:2200,34451,110414,79323,21113,1690,79051,88275,1208,121041
161:1,110414,34451,68190,79051,121041,225,101416,19396,1462
171:31925,19288,110292,363,35190,245,840,3107,52744,13400
172:13838,35190,245,3107,1685,101665,500,4292,63632,508
174:17601,95843,4853,14349,1930,4848,3864,12445,106185,13523
177:1102,726,1212,245,64978,1208,3389,495,1685,57647
196:1,110414,34451,79051,35190,3107,121041,225,13785,101416
202:3165,19288,92940,28632,114656,245,117822,13400,358,69702
211:2200,25957,3860,69828,2901,1103,1924,19421,22072,18187
217:548,1102,11633,3858,486,960,55768,15429,2429,15432
220:51770,65553,54644,110410,485,11973,80030,6805,18165,12612
223:2200,110292,363,1690,726,124,245,840,52744,13400
224:2200,483,7715,24877,962,12445,10183,974,2897,493
225:13838,726,245,1920,1683,1681,1444,13523,8359,17715
228:550,725,960,13221,245,115059,1208,117943,2429,3389
229:29741,68190,15010,92940,31000,28632,22603,13400,103410,12306
231:1102,1208,962,43797,61402,49015,44128,6485,3824,1685
232:61943,23961,87726,50356,88929,111953,99009,3505,120622,40084
238:2200,6766,966,974,1923,19421,7725,18187,39781,3842
241:2200,363,19288,110292,1690,35190,245,840,31275,3107
245:2200,12433,68911,6759,52874,33489,1937,105746,12471,5791
249:2200,48475,101437,5818,15429,23271,30855,40764,3864,15432
250:1,110414,34451,28632,79051,245,121041,225,101416,19396
253:1100,50718,99971,486,77635,30855,51917,117944,29238,2903
257:18452,14890,20573,28632,3105,49507,35877,103410,7450,500
272:13838,110292,840,962,43797,52744,2280,61402,13400,49015
273:31925,19288,1690,2200,124,354,19281,101313,1685,101665
288:2200,34451,79051,5260,19396,101416,500,4292,61716,1462
290:2200,61121,483,11633,3858,481,31945,55768,77635,3376
291:1100,50718,6766,966,117944,974,19421,18187,39781,3842
292:13838,19288,50957,1212,1077,725,7984,967,9618,366
